lon,lat,object_id,mat_type,mat_tech,mat_prop,llrs,llrs_duct,height,height_1,yr_built,occupy,occupy_dt,str_irreg,str_irreg_dt,str_irreg_type,roof_shape,roofcovmat,roofsysmat,roofsystyp,roof_conn,floor_mat,floor_type,floor_conn,position,plan_shape
7.92222658064516,48.8945344387097,30802,CR,CIP,MOC,LFINF,DUC,H,2.0,YAPP,RES,RES1,IRRE,IRP99,IRN,RSH2,RMT1,RWO,RWO1,RTDP,FC,FC2,FWCP,BPD,PLFT
7.92186984824169,48.895220450694,30806,MUR,MUN99,MO99,LO,DU99,H,2.0,YAPP,RES,RES1,IRRE,IRP99,IRN,RSH2,RMT1,RWO,RWO1,RTDP,FC,FC1,FWCN,BPD,PLFR
7.92202030352861,48.8953768443816,30809,MUR,MUN99,MO99,LO,DU99,H,1.0,YAPP,RES,RES1,IRRE,IRP99,IRN,RSH2,RMT1,RWO,RWO1,RTDP,FN,FT99,FWC99,BP99,PLF99
7.92237762749965,48.8950491132258,30816,MUR,MUN99,MO99,LO,DU99,H,2.0,YAPP,RES,RES1,IRRE,IRP99,IRN,RSH2,RMT1,RWO,RWO1,RTDP,FC,FC1,FWCN,BPD,PLFT
7.9215754186747,48.8943623242972,30850,CR,CIP,MOC,LFINF,DUC,H,2.0,YAPP,RES,RES1,IRRE,IRP99,IRN,RSH2,RMT1,RWO,RWO1,RTDP,FC,FC2,FWCP,BPD,PLFR
7.92008440639488,48.8953404755662,30861,MUR,MUN99,MO99,LO,DU99,H,1.0,YAPP,RES,RES1,IRRE,IRP99,IRN,RSH2,RMT1,RWO,RWO1,RTDN,FN,FT99,FWC99,BP2,PLFR
7.91998906335728,48.8956723408085,30868,MR,RW,MO99,LH,DU99,H,2.0,YAPP,RES,RES1,IRRE,IRP99,IRN,RSH2,RMT1,RWO,RWO1,RTDP,FW,FW1,FWCN,BPD,PLFR
7.90393546806493,48.8954520655022,30920,MUR,MUN99,MO99,LO,DU99,H,2.0,YAPP,RES,RES1,IRRE,IRP99,IRN,RSH3,RMT1,RWO,RWO1,RTDP,FC,FC1,FWCN,BP1,PLFR
7.90060445185185,48.8946332148148,30942,MAT99,MATT99,MO99,L99,DU99,H99,99.0,Y99,OC99,OCCDT99,IR99,IRP99,IRT99,R99,RMT99,RSM99,RST99,RCN99,F99,FT99,FWC99,BP99,PLF99
7.9009175019489,48.8949496523748,30952,MUR,MUN99,MO99,LO,DU99,H,2.0,YAPP,RES,RES1,IRRE,IRP99,IRN,RSH3,RMT1,RWO,RWO1,RTDP,FC,FC1,FWCN,BP99,PLF99
7.89916197081565,48.8940312730212,30983,CR,CIP,MOC,LFINF,DUC,H,1.0,YAPP,RES,RES1,IRRE,IRP99,IRN,RSH2,RMT1,RWO,RWO1,RTDP,FC,FC2,FWCP,BPD,PLFR
7.89782370851577,48.8938365759935,30995,MUR,MUN99,MO99,LO,DU99,H,1.0,YAPP,RES,COM7,IRRE,IRP99,IRN,RSH1,RMN,RC,RC1,RTDP,FN,FT99,FWC99,BP1,PLFR
7.89775136862056,48.893771471599,31003,MUR,MUN99,MO99,LO,DU99,H,2.0,YAPP,RES,RES1,IRRE,IRP99,IRN,RSH2,RMT1,RWO,RWO1,RTDP,FW,FW1,FWCN,BP1,PLFR
7.89933058328021,48.8932407603735,31010,MUR,MUN99,MO99,LO,DU99,H,2.0,YAPP,RES,RES1,IRRE,IRP99,IRN,RSH2,RMT99,RWO,RWO1,RTDP,FW,FW1,FWCN,BPD,PLFR
